filepath,tags
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230401-FrogMonth_ROW9751182121_UHD.jpg,"20230401,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,frogmonth,row9751182121,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230402-JavaBromo_ROW4373967906_UHD.jpg,"20230402,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,javabromo,row4373967906,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230403-HonaunauNP_ROW5786762045_UHD.jpg,"20230403,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,honaunaunp,row5786762045,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230404-RomanBridge_ROW7839688997_UHD.jpg,"20230404,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,romanbridge,row7839688997,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230405-BlackGrouseLekking_ROW7639439076_UHD.jpg,"20230405,bingwallpaper,blackgrouselekking,downloaded via net,downloaded via net/bingwallpaper,row7639439076,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230406-ArizonaPinkMoon_ROW6123452176_UHD.jpg,"20230406,arizonapinkmoon,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,row6123452176,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230407-KitsAspen_ROW6572224525_UHD.jpg,"20230407,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,kitsaspen,row6572224525,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230408-NIrelandGiants_ROW0628526984_UHD.jpg,"20230408,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,nirelandgiants,row0628526984,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230409-MilkyWayTwoJackLake_ROW0791032627_UHD.jpg,"20230409,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,milkywaytwojacklake,row0791032627,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230410-ElephantTwins_ROW1132340336_UHD.jpg,"20230410,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,elephanttwins,row1132340336,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230411-MossyGrottoFalls_ROW6376711227_UHD.jpg,"20230411,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,mossygrottofalls,row6376711227,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230412-EuropeFromISS_ROW1363787892_UHD.jpg,"20230412,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,europefromiss,row1363787892,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230413-SnowdoniaNational_ROW1485284324_UHD.jpg,"20230413,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,row1485284324,snowdonianational,uhd"
